,Kruglyak_name,Jerison_name
0,A01_01,NA
1,A01_02,LK1-A02
2,A01_03,NA
3,A01_04,NA
4,A01_05,LK1-A05
5,A01_06,LK1-A06
6,A01_07,LK1-A07
7,A01_08,NA
8,A01_09,LK1-A09
9,A01_10,LK1-A10
10,A01_11,NA
11,A01_12,LK1-A12
12,A01_13,LK1-B01
13,A01_14,NA
14,A01_15,LK1-B03
15,A01_16,LK1-B04
16,A01_17,LK1-B05
17,A01_18,NA
18,A01_19,NA
19,A01_20,LK1-B08
20,A01_21,NA
21,A01_22,NA
22,A01_23,NA
23,A01_24,NA
24,A01_25,LK1-C01
25,A01_26,NA
26,A01_27,NA
27,A01_28,NA
28,A01_29,NA
29,A01_30,LK1-C06
30,A01_31,LK1-C07
31,A01_32,NA
32,A01_33,LK1-C09
33,A01_34,NA
34,A01_35,LK1-C11
35,A01_36,NA
36,A01_37,LK1-D01
37,A01_38,LK1-D02
38,A01_39,NA
39,A01_40,NA
40,A01_41,NA
41,A01_42,LK1-D06
42,A01_43,NA
43,A01_44,LK1-D08
44,A01_45,LK1-D09
45,A01_46,LK1-D10
46,A01_47,NA
47,A01_48,LK1-D12
48,A01_49,LK1-E01
49,A01_50,NA
50,A01_51,NA
51,A01_52,LK1-E04
52,A01_53,LK1-E05
53,A01_54,NA
54,A01_55,LK1-E07
55,A01_56,NA
56,A01_57,LK1-E09
57,A01_58,NA
58,A01_59,NA
59,A01_60,NA
60,A01_61,NA
61,A01_62,NA
62,A01_63,LK1-F03
63,A01_64,NA
64,A01_65,LK1-F05
65,A01_66,NA
66,A01_67,NA
67,A01_69,NA
68,A01_70,NA
69,A01_71,NA
70,A01_72,NA
71,A01_73,NA
72,A01_74,NA
73,A01_75,LK1-G03
74,A01_76,LK1-G04
75,A01_77,NA
76,A01_79,LK1-G07
77,A01_80,LK1-G08
78,A01_81,LK1-G09
79,A01_82,LK1-G10
80,A01_83,LK1-G11
81,A01_84,LK1-G12
82,A01_85,NA
83,A01_86,LK1-H02
84,A01_87,LK1-H03
85,A01_88,LK1-H04
86,A01_89,NA
87,A01_90,NA
88,A01_91,NA
89,A01_92,NA
90,A01_93,LK1-H09
91,A01_94,NA
92,A01_95,NA
93,A01_96,LK1-H12
94,A02_01,LK2-A01
95,A02_02,NA
96,A02_03,NA
97,A02_04,NA
98,A02_05,LK2-A05
99,A02_06,LK2-A06
100,A02_07,LK2-A07
101,A02_08,NA
102,A02_09,LK2-A09
103,A02_10,LK2-A10
104,A02_11,LK2-A11
105,A02_12,LK2-A12
106,A02_13,NA
107,A02_14,NA
108,A02_15,NA
109,A02_16,LK2-B04
110,A02_17,LK2-B05
111,A02_18,NA
112,A02_19,LK2-B07
113,A02_20,NA
114,A02_21,NA
115,A02_22,NA
116,A02_23,NA
117,A02_24,NA
118,A02_25,NA
119,A02_26,NA
120,A02_27,NA
121,A02_29,LK2-C05
122,A02_30,LK2-C06
123,A02_32,LK2-C08
124,A02_33,LK2-C09
125,A02_34,NA
126,A02_35,NA
127,A02_36,NA
128,A02_37,NA
129,A02_38,NA
130,A02_39,LK2-D03
131,A02_40,LK2-D04
132,A02_41,LK2-D05
133,A02_43,LK2-D07
134,A02_44,NA
135,A02_45,LK2-D09
136,A02_46,NA
137,A02_47,NA
138,A02_48,NA
139,A02_49,NA
140,A02_50,NA
141,A02_51,NA
142,A02_52,NA
143,A02_53,NA
144,A02_54,NA
145,A02_55,LK2-E07
146,A02_56,LK2-E08
147,A02_57,NA
148,A02_58,LK2-E10
149,A02_59,NA
150,A02_60,LK2-E12
151,A02_61,NA
152,A02_62,NA
153,A02_63,LK2-F03
154,A02_64,LK2-F04
155,A02_65,LK2-F05
156,A02_66,NA
157,A02_67,LK2-F07
158,A02_68,NA
159,A02_69,NA
160,A02_70,NA
161,A02_71,LK2-F11
162,A02_72,LK2-F12
163,A02_73,NA
164,A02_74,NA
165,A02_75,NA
166,A02_76,NA
167,A02_78,LK2-G06
168,A02_79,LK2-G07
169,A02_80,NA
170,A02_81,LK2-G09
171,A02_82,LK2-G10
172,A02_83,NA
173,A02_84,NA
174,A02_86,NA
175,A02_87,NA
176,A02_88,NA
177,A02_89,NA
178,A02_90,LK2-H06
179,A02_91,NA
180,A02_92,NA
181,A02_93,NA
182,A02_94,NA
183,A02_95,NA
184,A02_96,NA
185,A03_01,LK3-A01
186,A03_02,NA
187,A03_03,LK3-A03
188,A03_04,NA
189,A03_05,LK3-A05
190,A03_06,NA
191,A03_07,LK3-A07
192,A03_08,NA
193,A03_09,NA
194,A03_10,NA
195,A03_11,NA
196,A03_12,LK3-A12
197,A03_13,NA
198,A03_14,LK3-B02
199,A03_15,LK3-B03
200,A03_16,LK3-B04
201,A03_17,NA
202,A03_18,NA
203,A03_19,LK3-B07
204,A03_20,LK3-B08
205,A03_21,NA
206,A03_22,LK3-B10
207,A03_23,LK3-B11
208,A03_24,LK3-B12
209,A03_25,LK3-C01
210,A03_26,LK3-C02
211,A03_27,LK3-C03
212,A03_28,LK3-C04
213,A03_29,NA
214,A03_30,LK3-C06
215,A03_31,NA
216,A03_32,LK3-C08
217,A03_33,LK3-C09
218,A03_34,NA
219,A03_35,LK3-C11
220,A03_36,LK3-C12
221,A03_37,LK3-D01
222,A03_38,NA
223,A03_39,NA
224,A03_40,LK3-D04
225,A03_41,LK3-D05
226,A03_42,NA
227,A03_43,NA
228,A03_44,LK3-D08
229,A03_45,LK3-D09
230,A03_46,NA
231,A03_47,NA
232,A03_48,LK3-D12
233,A03_49,NA
234,A03_50,NA
235,A03_51,LK3-E03
236,A03_52,NA
237,A03_53,NA
238,A03_54,LK3-E06
239,A03_55,NA
240,A03_56,NA
241,A03_57,LK3-E09
242,A03_58,NA
243,A03_59,LK3-E11
244,A03_60,NA
245,A03_61,NA
246,A03_62,NA
247,A03_63,NA
248,A03_64,NA
249,A03_65,NA
250,A03_66,LK3-F06
251,A03_67,NA
252,A03_68,NA
253,A03_69,NA
254,A03_70,LK3-F10
255,A03_71,NA
256,A03_72,LK3-F12
257,A03_73,LK3-G01
258,A03_74,LK3-G02
259,A03_75,NA
260,A03_76,NA
261,A03_77,NA
262,A03_78,NA
263,A03_79,LK3-G07
264,A03_80,LK3-G08
265,A03_81,NA
266,A03_82,LK3-G10
267,A03_83,LK3-G11
268,A03_84,NA
269,A03_85,LK3-H01
270,A03_86,NA
271,A03_87,LK3-H03
272,A03_88,NA
273,A03_89,LK3-H05
274,A03_90,LK3-H06
275,A03_91,NA
276,A03_92,LK3-H08
277,A03_93,NA
278,A03_94,LK3-H10
279,A03_95,LK3-H11
280,A04_01,NA
281,A04_02,NA
282,A04_03,NA
283,A04_04,LK4-A04
284,A04_05,NA
285,A04_06,NA
286,A04_07,NA
287,A04_08,NA
288,A04_09,NA
289,A04_10,LK4-A10
290,A04_11,NA
291,A04_12,LK4-A12
292,A04_13,LK4-B01
293,A04_15,LK4-B03
294,A04_16,LK4-B04
295,A04_17,LK4-B05
296,A04_18,LK4-B06
297,A04_19,LK4-B07
298,A04_20,LK4-B08
299,A04_21,NA
300,A04_22,LK4-B10
301,A04_23,NA
302,A04_24,LK4-B12
303,A04_25,NA
304,A04_26,NA
305,A04_27,NA
306,A04_28,NA
307,A04_29,NA
308,A04_30,NA
309,A04_31,LK4-C07
310,A04_32,LK4-C08
311,A04_33,LK4-C09
312,A04_34,LK4-C10
313,A04_35,LK4-C11
314,A04_36,NA
315,A04_37,LK4-D01
316,A04_38,LK4-D02
317,A04_39,NA
318,A04_40,NA
319,A04_41,NA
320,A04_42,NA
321,A04_43,NA
322,A04_44,NA
323,A04_45,NA
324,A04_46,NA
325,A04_47,LK4-D11
326,A04_48,LK4-D12
327,A04_49,LK4-E01
328,A04_50,LK4-E02
329,A04_51,LK4-E03
330,A04_52,NA
331,A04_53,NA
332,A04_54,NA
333,A04_55,LK4-E07
334,A04_56,NA
335,A04_77,LK4-G05
336,A04_78,LK4-G06
337,A04_79,NA
338,A04_80,NA
339,A04_81,LK4-G09
340,A04_82,NA
341,A04_84,NA
342,A04_85,LK4-H01
343,A04_86,LK4-H02
344,A04_87,LK4-H03
345,A04_88,NA
346,A04_89,NA
347,A04_90,NA
348,A04_91,NA
349,A04_92,NA
350,A04_93,NA
351,A04_94,LK4-H10
352,A04_95,LK4-H11
353,A04_96,LK4-H12
354,A05_01,NA
355,A05_02,NA
356,A05_03,LK5-A03
357,A05_04,LK5-A04
358,A05_05,LK5-A05
359,A05_07,LK5-A07
360,A05_08,NA
361,A05_09,NA
362,A05_10,NA
363,A05_11,NA
364,A05_12,NA
365,A05_13,LK5-B01
366,A05_14,NA
367,A05_15,LK5-B03
368,A05_16,NA
369,A05_17,LK5-B05
370,A05_18,LK5-B06
371,A05_19,LK5-B07
372,A05_20,NA
373,A05_21,NA
374,A05_22,NA
375,A05_23,NA
376,A05_24,NA
377,A05_25,LK5-C01
378,A05_26,NA
379,A05_27,LK5-C03
380,A05_28,LK5-C04
381,A05_29,NA
382,A05_30,NA
383,A05_31,NA
384,A05_33,NA
385,A05_34,LK5-C10
386,A05_35,LK5-C11
387,A05_36,NA
388,A05_37,NA
389,A05_38,NA
390,A05_39,LK5-D03
391,A05_40,LK5-D04
392,A05_41,LK5-D05
393,A05_42,LK5-D06
394,A05_43,NA
395,A05_44,LK5-D08
396,A05_45,LK5-D09
397,A05_47,NA
398,A05_48,NA
399,A05_49,LK5-E01
400,A05_50,NA
401,A05_51,NA
402,A05_53,NA
403,A05_54,NA
404,A05_55,NA
405,A05_56,LK5-E08
406,A05_57,LK5-E09
407,A05_59,LK5-E11
408,A05_60,NA
409,A05_61,LK5-F01
410,A05_62,NA
411,A05_63,LK5-F03
412,A05_64,NA
413,A05_65,LK5-F05
414,A05_66,LK5-F06
415,A05_67,LK5-F07
416,A05_68,LK5-F08
417,A05_70,LK5-F10
418,A05_71,NA
419,A05_72,NA
420,A05_73,LK5-G01
421,A05_74,NA
422,A05_75,LK5-G03
423,A05_76,NA
424,A05_77,NA
425,A05_78,NA
426,A05_79,NA
427,A05_80,NA
428,A05_81,LK5-G09
429,A05_82,NA
430,A05_83,LK5-G11
431,A05_84,NA
432,A05_85,NA
433,A05_86,LK5-H02
434,A05_87,NA
435,A05_88,LK5-H04
436,A05_89,NA
437,A05_90,NA
438,A05_91,LK5-H07
439,A05_92,LK5-H08
440,A05_93,NA
441,A05_94,NA
442,A05_95,NA
443,A05_96,LK5-H12
444,A06_01,NA
445,A06_02,NA
446,A06_03,LK6-A03
447,A06_04,NA
448,A06_05,LK6-A05
449,A06_06,NA
450,A06_07,LK6-A07
451,A06_08,NA
452,A06_09,LK6-A09
453,A06_10,LK6-A10
454,A06_11,LK6-A11
455,A06_12,NA
456,A06_13,NA
457,A06_14,NA
458,A06_15,LK6-B03
459,A06_16,NA
460,A06_17,LK6-B05
461,A06_18,NA
462,A06_19,LK6-B07
463,A06_20,LK6-B08
464,A06_21,LK6-B09
465,A06_22,LK6-B10
466,A06_23,NA
467,A06_24,NA
468,A06_25,LK6-C01
469,A06_26,LK6-C02
470,A06_27,NA
471,A06_28,NA
472,A06_29,LK6-C05
473,A06_30,LK6-C06
474,A06_31,NA
475,A06_32,LK6-C08
476,A06_33,NA
477,A06_34,NA
478,A06_35,LK6-C11
479,A06_36,LK6-C12
480,A06_38,NA
481,A06_39,NA
482,A06_40,LK6-D04
483,A06_41,LK6-D05
484,A06_42,LK6-D06
485,A06_43,LK6-D07
486,A06_44,NA
487,A06_45,LK6-D09
488,A06_46,NA
489,A06_47,NA
490,A06_48,NA
491,A06_49,LK6-E01
492,A06_50,LK6-E02
493,A06_51,NA
494,A06_52,LK6-E04
495,A06_53,NA
496,A06_54,NA
497,A06_56,NA
498,A06_57,NA
499,A06_58,NA
500,A06_59,LK6-E11
501,A06_60,NA
502,A06_61,NA
503,A06_62,NA
504,A06_63,LK6-F03
505,A06_64,NA
506,A06_65,NA
507,A06_66,NA
508,A06_67,NA
509,A06_68,NA
510,A06_69,NA
511,A06_70,NA
512,A06_71,NA
513,A06_72,NA
514,A06_73,NA
515,A06_75,NA
516,A06_76,NA
517,A06_77,NA
518,A06_78,NA
519,A06_79,NA
520,A06_80,NA
521,A06_81,NA
522,A06_82,NA
523,A06_83,NA
524,A06_84,NA
525,A06_85,NA
526,A06_86,NA
527,A06_87,NA
528,A06_88,NA
529,A06_89,NA
530,A06_90,NA
531,A06_91,NA
532,A06_92,NA
533,A06_93,NA
534,A06_94,NA
535,A06_95,NA
536,A06_96,NA
537,A07_01,NA
538,A07_02,NA
539,A07_03,NA
540,A07_04,NA
541,A07_05,NA
542,A07_06,NA
543,A07_07,NA
544,A07_08,NA
545,A07_09,NA
546,A07_10,NA
547,A07_11,NA
548,A07_12,NA
549,A07_13,NA
550,A07_14,NA
551,A07_15,NA
552,A07_16,NA
553,A07_17,NA
554,A07_18,NA
555,A07_19,NA
556,A07_20,NA
557,A07_21,NA
558,A07_22,NA
559,A07_23,NA
560,A07_24,NA
561,A07_25,NA
562,A07_26,NA
563,A07_27,NA
564,A07_28,NA
565,A07_29,NA
566,A07_30,NA
567,A07_31,NA
568,A07_32,NA
569,A07_33,NA
570,A07_34,NA
571,A07_35,NA
572,A07_36,NA
573,A07_37,NA
574,A07_38,NA
575,A07_39,NA
576,A07_40,NA
577,A07_41,NA
578,A07_42,NA
579,A07_43,NA
580,A07_44,NA
581,A07_45,NA
582,A07_46,NA
583,A07_47,NA
584,A07_48,NA
585,A07_49,NA
586,A07_50,NA
587,A07_51,NA
588,A07_52,NA
589,A07_53,NA
590,A07_54,NA
591,A07_55,NA
592,A07_56,NA
593,A07_57,NA
594,A07_58,NA
595,A07_59,NA
596,A07_61,NA
597,A07_62,NA
598,A07_63,NA
599,A07_64,NA
600,A07_65,NA
601,A07_66,NA
602,A07_67,NA
603,A07_68,NA
604,A07_69,NA
605,A07_70,NA
606,A07_71,NA
607,A07_72,NA
608,A07_73,NA
609,A07_74,NA
610,A07_75,NA
611,A07_76,NA
612,A07_77,NA
613,A07_78,NA
614,A07_79,NA
615,A07_80,NA
616,A07_81,NA
617,A07_82,NA
618,A07_83,NA
619,A07_84,NA
620,A07_85,NA
621,A07_86,NA
622,A07_87,NA
623,A07_88,NA
624,A07_89,NA
625,A07_90,NA
626,A07_91,NA
627,A07_92,NA
628,A07_93,NA
629,A07_94,NA
630,A07_95,NA
631,A08_01,NA
632,A08_02,NA
633,A08_03,NA
634,A08_04,NA
635,A08_05,NA
636,A08_06,NA
637,A08_07,NA
638,A08_08,NA
639,A08_09,NA
640,A08_10,NA
641,A08_11,NA
642,A08_12,NA
643,A08_13,NA
644,A08_14,NA
645,A08_15,NA
646,A08_16,NA
647,A08_17,NA
648,A08_18,NA
649,A08_19,NA
650,A08_20,NA
651,A08_21,NA
652,A08_22,NA
653,A08_23,NA
654,A08_24,NA
655,A08_25,NA
656,A08_26,NA
657,A08_27,NA
658,A08_28,NA
659,A08_29,NA
660,A08_30,NA
661,A08_31,NA
662,A08_32,NA
663,A08_33,NA
664,A08_34,NA
665,A08_35,NA
666,A08_36,NA
667,A08_37,NA
668,A08_38,NA
669,A08_39,NA
670,A08_40,NA
671,A08_41,NA
672,A08_42,NA
673,A08_43,NA
674,A08_44,NA
675,A08_45,NA
676,A08_46,NA
677,A08_47,NA
678,A08_48,NA
679,A08_49,NA
680,A08_50,NA
681,A08_51,NA
682,A08_52,NA
683,A08_53,NA
684,A08_54,NA
685,A08_55,NA
686,A08_56,NA
687,A08_57,NA
688,A08_58,NA
689,A08_59,NA
690,A08_60,NA
691,A08_61,NA
692,A08_62,NA
693,A08_63,NA
694,A08_64,NA
695,A08_65,NA
696,A08_66,NA
697,A08_67,NA
698,A08_68,NA
699,A08_69,NA
700,A08_70,NA
701,A08_71,NA
702,A08_72,NA
703,A08_73,NA
704,A08_74,NA
705,A08_75,NA
706,A08_76,NA
707,A08_77,NA
708,A08_78,NA
709,A08_79,NA
710,A08_80,NA
711,A08_81,NA
712,A08_82,NA
713,A08_83,NA
714,A08_84,NA
715,A08_85,NA
716,A08_86,NA
717,A08_87,NA
718,A08_88,NA
719,A08_89,NA
720,A08_90,NA
721,A08_91,NA
722,A08_92,NA
723,A08_93,NA
724,A08_94,NA
725,A08_95,NA
726,A08_96,NA
727,A09_01,NA
728,A09_03,NA
729,A09_04,NA
730,A09_05,NA
731,A09_06,NA
732,A09_07,NA
733,A09_08,NA
734,A09_09,NA
735,A09_10,NA
736,A09_11,NA
737,A09_12,NA
738,A09_14,NA
739,A09_15,NA
740,A09_16,NA
741,A09_17,NA
742,A09_18,NA
743,A09_19,NA
744,A09_20,NA
745,A09_21,NA
746,A09_22,NA
747,A09_23,NA
748,A09_24,NA
749,A09_25,NA
750,A09_26,NA
751,A09_27,NA
752,A09_28,NA
753,A09_29,NA
754,A09_30,NA
755,A09_31,NA
756,A09_32,NA
757,A09_33,NA
758,A09_34,NA
759,A09_35,NA
760,A09_36,NA
761,A09_37,NA
762,A09_38,NA
763,A09_39,NA
764,A09_40,NA
765,A09_41,NA
766,A09_42,NA
767,A09_43,NA
768,A09_44,NA
769,A09_45,NA
770,A09_46,NA
771,A09_47,NA
772,A09_48,NA
773,A09_49,NA
774,A09_50,NA
775,A09_51,NA
776,A09_52,NA
777,A09_53,NA
778,A09_54,NA
779,A09_55,NA
780,A09_56,NA
781,A09_57,NA
782,A09_58,NA
783,A09_59,NA
784,A09_60,NA
785,A09_61,NA
786,A09_63,NA
787,A09_64,NA
788,A09_65,NA
789,A09_66,NA
790,A09_68,NA
791,A09_69,NA
792,A09_70,NA
793,A09_71,NA
794,A09_72,NA
795,A09_73,NA
796,A09_74,NA
797,A09_75,NA
798,A09_76,NA
799,A09_77,NA
800,A09_78,NA
801,A09_79,NA
802,A09_80,NA
803,A09_81,NA
804,A09_82,NA
805,A09_83,NA
806,A09_84,NA
807,A09_85,NA
808,A09_86,NA
809,A09_87,NA
810,A09_88,NA
811,A09_89,NA
812,A09_90,NA
813,A09_91,NA
814,A09_92,NA
815,A09_93,NA
816,A09_94,NA
817,A09_95,NA
818,A09_96,NA
819,A10_01,NA
820,A10_02,NA
821,A10_03,NA
822,A10_04,NA
823,A10_05,NA
824,A10_06,NA
825,A10_08,NA
826,A10_09,NA
827,A10_10,NA
828,A10_11,NA
829,A10_12,NA
830,A10_13,NA
831,A10_15,NA
832,A10_16,NA
833,A10_17,NA
834,A10_18,NA
835,A10_19,NA
836,A10_20,NA
837,A10_21,NA
838,A10_22,NA
839,A10_23,NA
840,A10_24,NA
841,A10_25,NA
842,A10_26,NA
843,A10_27,NA
844,A10_28,NA
845,A10_29,NA
846,A10_30,NA
847,A10_31,NA
848,A10_32,NA
849,A10_33,NA
850,A10_34,NA
851,A10_35,NA
852,A10_36,NA
853,A10_37,NA
854,A10_38,NA
855,A10_39,NA
856,A10_40,NA
857,A10_41,NA
858,A10_42,NA
859,A10_43,NA
860,A10_44,NA
861,A10_45,NA
862,A10_46,NA
863,A10_47,NA
864,A10_48,NA
865,A10_49,NA
866,A10_50,NA
867,A10_51,NA
868,A10_52,NA
869,A10_53,NA
870,A10_54,NA
871,A10_55,NA
872,A10_56,NA
873,A10_57,NA
874,A10_58,NA
875,A10_59,NA
876,A10_60,NA
877,A10_61,NA
878,A10_62,NA
879,A10_63,NA
880,A10_64,NA
881,A10_65,NA
882,A10_66,NA
883,A10_67,NA
884,A10_68,NA
885,A10_69,NA
886,A10_70,NA
887,A10_71,NA
888,A10_72,NA
889,A10_73,NA
890,A10_74,NA
891,A10_75,NA
892,A10_76,NA
893,A10_77,NA
894,A10_78,NA
895,A10_79,NA
896,A10_80,NA
897,A10_81,NA
898,A10_82,NA
899,A10_83,NA
900,A10_84,NA
901,A10_85,NA
902,A10_86,NA
903,A10_87,NA
904,A10_88,NA
905,A10_90,NA
906,A10_91,NA
907,A10_92,NA
908,A10_93,NA
909,A10_94,NA
910,A10_95,NA
911,A10_96,NA
912,A11_01,NA
913,A11_02,NA
914,A11_03,NA
915,A11_04,NA
916,A11_05,NA
917,A11_06,NA
918,A11_07,NA
919,A11_08,NA
920,A11_09,NA
921,A11_10,NA
922,A11_11,NA
923,A11_12,NA
924,A11_13,NA
925,A11_14,NA
926,A11_15,NA
927,A11_16,NA
928,A11_17,NA
929,A11_18,NA
930,A11_19,NA
931,A11_20,NA
932,A11_21,NA
933,A11_22,NA
934,A11_23,NA
935,A11_24,NA
936,A11_25,NA
937,A11_26,NA
938,A11_27,NA
939,A11_28,NA
940,A11_29,NA
941,A11_30,NA
942,A11_31,NA
943,A11_32,NA
944,A11_33,NA
945,A11_34,NA
946,A11_35,NA
947,A11_36,NA
948,A11_37,NA
949,A11_38,NA
950,A11_39,NA
951,A11_40,NA
952,A11_41,NA
953,A11_42,NA
954,A11_43,NA
955,A11_44,NA
956,A11_45,NA
957,A11_46,NA
958,A11_47,NA
959,A11_48,NA
960,A11_49,NA
961,A11_50,NA
962,A11_51,NA
963,A11_52,NA
964,A11_53,NA
965,A11_54,NA
966,A11_55,NA
967,A11_56,NA
968,A11_57,NA
969,A11_58,NA
970,A11_59,NA
971,A11_60,NA
972,A11_61,NA
973,A11_62,NA
974,A11_63,NA
975,A11_64,NA
976,A11_65,NA
977,A11_66,NA
978,A11_67,NA
979,A11_68,NA
980,A11_69,NA
981,A11_70,NA
982,A11_71,NA
983,A11_72,NA
984,A11_73,NA
985,A11_74,NA
986,A11_75,NA
987,A11_76,NA
988,A11_77,NA
989,A11_78,NA
990,A11_79,NA
991,A11_80,NA
992,A11_81,NA
993,A11_82,NA
994,A11_83,NA
995,A11_84,NA
996,A11_85,NA
997,A11_86,NA
998,A11_87,NA
999,A11_88,NA
1000,A11_89,NA
1001,A11_90,NA
1002,A11_91,NA
1003,A11_92,NA
1004,A11_93,NA
1005,A11_94,NA
1006,A11_95,NA
1007,A11_96,NA
